time,x,y,z
9.40012,6.285676,3.333808,10.34637
9.41012,6.8054285,2.8140554,11.572201
9.42012,7.129048,2.1177833,12.690159
9.43012,7.2271147,1.5097709,13.876763
9.440121,7.501701,1.0782783,14.857429
9.450121,7.5115075,0.8134988,15.5537
9.460121,7.531121,0.74485224,15.661574
9.470121,7.531121,0.7252389,15.269308
9.480122,7.531121,0.7252389,14.141543
9.490122,7.462474,0.78407884,12.739192
9.500122,7.354601,0.8036921,11.307422
9.510122,7.266341,0.78407884,10.05217
9.520123,7.1878877,0.46045935,9.042085
9.530123,7.1094346,0.16625986,8.29678
9.540123,7.0015616,-0.078906395,7.688767
9.550123,6.717169,-0.078906395,7.1886277
9.560123,6.462196,-0.078906395,6.825782
9.570124,6.3543224,0.1760665,6.825782
9.580124,6.2660627,0.5487192,6.904235
9.590124,6.236643,1.058665,7.306308
9.600124,6.177803,1.4313177,7.5514736
9.610125,5.903217,1.7353238,7.5612807
9.620125,5.648244,1.8333904,7.5612807
9.630125,5.363851,1.9412634,7.4730206
9.640125,5.0990715,2.0295234,7.237661
9.6501255,4.991198,2.0491366,7.002301
9.660126,4.6969986,2.06875,6.7375216
9.670126,4.608739,2.0785568,6.4040956
9.680126,4.500866,2.0785568,6.0804763
9.690126,4.412606,2.0785568,5.77647
9.700127,4.3439593,2.0785568,5.4136243
9.710127,4.3145394,2.0883634,5.0311646
9.720127,4.216473,2.0883634,4.7271585
9.730127,4.1184063,2.1079767,4.462379
9.740128,4.0301466,2.1668165,4.354506
9.750128,3.9615,2.2354631,4.1191463
9.760128,3.9615,2.3335297,4.0406933
9.770128,3.9615,2.5885024,3.9426267
9.7801285,3.9811134,2.608116,3.8739803
9.790129,4.04976,2.7061822,3.854367
9.800129,4.1085997,2.8042488,3.854367
